"condition" "subject" "block" "acc_mean" "rt_mean"
2 6 5 0.8 1.217104
2 7 5 0.68 0.852732
2 8 5 0.44 1.116956
2 10 5 0.4 1.033044
2 11 5 0.88 2.32838
2 12 5 0.48 1.582196
2 13 5 0.76 1.394636
2 14 5 0.52 1.43484
2 15 5 0.92 2.510264
2 16 5 0.52 0.728408
2 17 5 0.44 1.581952
2 18 5 0.52 1.199904
2 19 5 0.48 1.752092
2 21 5 0.48 1.741324
2 23 5 0.44 0.789492
2 24 5 0.8 1.01532
2 25 5 0.48 1.057544
2 27 5 0.6 1.04194
2 28 5 0.96 0.94648
2 30 5 0.56 1.266328
2 32 5 0.8 1.303388
2 33 5 0.52 0.851068
2 2 6 0.96 1.101344
2 3 6 0.8 1.032908
2 5 6 0.68 1.211032
2 6 6 0.84 1.046292
2 7 6 0.76 0.888924
2 8 6 0.56 1.195492
2 10 6 0.56 1.07536
2 11 6 0.68 1.822004
2 12 6 0.36 1.890992
2 13 6 0.52 1.435072
2 14 6 0.64 1.494868
2 15 6 0.88 1.345032
2 16 6 0.72 0.804608
2 17 6 0.64 1.412664
